customerID,churn_prob,segment
7590-VHVEG,0.6595584357017895,At Risk
5575-GNVDE,0.04809149382451614,Loyal
3668-QPYBK,0.32541823390822683,Dormant
7795-CFOCW,0.0563820665067339,Loyal
9237-HQITU,0.6359635937836761,At Risk
9305-CDSKC,0.8500680504930511,At Risk
1452-KIOVK,0.3893112436879558,Dormant
6713-OKOMC,0.19318110111090747,Loyal
7892-POOKP,0.5206354385641471,Dormant
6388-TABGU,0.03888387818166416,Loyal
9763-GRSKD,0.15363100049921977,Loyal
7469-LKBCI,0.019679701125223093,Loyal
8091-TTVAX,0.15728754889377713,Loyal
0280-XJGEX,0.47695972902564054,Dormant
5129-JLPIS,0.57447840653493,Dormant
3655-SNQYZ,0.0469900425100336,Loyal
8191-XWSZG,0.031461615582062716,Loyal
9959-WOFKT,0.07449153506710769,Loyal
4190-MFLUW,0.15897687671037786,Loyal
4183-MYFRB,0.5696022254372449,Dormant
8779-QRDMV,0.8097589360677235,At Risk
1680-VDCWW,0.05012989499598028,Loyal
1066-JKSGK,0.39738603655343024,Dormant
3638-WEABW,0.02691748647007003,Loyal
6322-HRPFA,0.08513779961258594,Loyal
6865-JZNKO,0.1194276394269429,Loyal
6467-CHFZW,0.6037716376328073,At Risk
8665-UTDHZ,0.6960555954702318,At Risk
5248-YGIJN,0.017334719105902216,Loyal
8773-HHUOZ,0.23215785369650835,Dormant
3841-NFECX,0.03195361896036661,Loyal
4929-XIHVW,0.8040670702396013,At Risk
6827-IEAUQ,0.03670387252799342,Loyal
7310-EGVHZ,0.3916491924681805,Dormant
3413-BMNZE,0.5863479065297738,Dormant
6234-RAAPL,0.02728081557920747,Loyal
6047-YHPVI,0.6487580540013785,At Risk
6572-ADKRS,0.27518601385608665,Dormant
5380-WJKOV,0.5772075672103107,Dormant
8168-UQWWF,0.8029611620979804,At Risk
8865-TNMNX,0.09879548357068042,Loyal
9489-DEDVP,0.03039546407952735,Loyal
9867-JCZSP,0.04356804719548051,Loyal
4671-VJLCL,0.019792778564972,Loyal
4080-IIARD,0.17218780864001482,Loyal
3714-NTNFO,0.4531253313255521,Dormant
5948-UJZLF,0.5313210900659442,Dormant
7760-OYPDY,0.747444920705633,At Risk
7639-LIAYI,0.029404243923417752,Loyal
2954-PIBKO,0.022001352670467076,Loyal
8012-SOUDQ,0.4194712380985816,Dormant
9420-LOJKX,0.6611593987032689,At Risk
6575-SUVOI,0.0880063211554268,Loyal
7495-OOKFY,0.6156722075860976,At Risk
4667-QONEA,0.0381410778053717,Loyal
1658-BYGOY,0.594284573138964,Dormant
